AUC,RECALL,F-0.5,F-1,F-2,TN,FN,FP,TP,MODEL,N_NEG,N_POS,DS,CENARIO
1.0,1.0,1.0,1.0,1.0,10554.0,0.0,0.0,77.0,RF,10554,77,109,Cenário 1
0.6363636363636364,0.2727272727272727,0.6521739130434783,0.42857142857142855,0.3191489361702128,10554.0,56.0,0.0,21.0,SVM,10554,77,109,Cenário 1
1.0,1.0,1.0,1.0,1.0,10554.0,0.0,0.0,77.0,XGB,10554,77,109,Cenário 1
0.991575663026521,1.0,0.2066115702479339,0.29411764705882354,0.5102040816326531,12604.0,0.0,216.0,45.0,LogClass,12820,45,11,Cenário 1
0.6666276651066042,0.3333333333333333,0.6880733944954129,0.4918032786885246,0.3826530612244898,12819.0,30.0,1.0,15.0,MLP,12820,45,11,Cenário 1
1.0,1.0,1.0,1.0,1.0,12820.0,0.0,0.0,45.0,RF,12820,45,11,Cenário 1
0.5,0.0,0.0,0.0,0.0,12820.0,45.0,0.0,0.0,SVM,12820,45,11,Cenário 1
1.0,1.0,1.0,1.0,1.0,12820.0,0.0,0.0,45.0,XGB,12820,45,11,Cenário 1
0.588364975325251,0.729921440012203,0.929216428779493,0.842911877394636,0.7712765957446809,9570.0,26.0,3541.0,21.0,FRBS,13111,47,110,Cenário 1
0.9848195895949348,1.0,0.13336962438758848,0.1975806451612903,0.3810264385692069,12711.0,0.0,398.0,49.0,LogClass,13109,49,110,Cenário 1
0.6224489795918368,0.24489795918367346,0.6185567010309279,0.3934426229508197,0.28846153846153844,13109.0,37.0,0.0,12.0,MLP,13109,49,110,Cenário 1
1.0,1.0,1.0,1.0,1.0,13109.0,0.0,0.0,49.0,RF,13109,49,110,Cenário 1
0.5,0.0,0.0,0.0,0.0,13109.0,49.0,0.0,0.0,SVM,13109,49,110,Cenário 1
1.0,1.0,1.0,1.0,1.0,13109.0,0.0,0.0,49.0,XGB,13109,49,110,Cenário 1
0.9941941477008824,1.0,0.03225806451612903,0.05063291139240507,0.11764705882352942,12768.0,0.0,150.0,4.0,LogClass,12918,4,111,Cenário 1
0.5,0.0,0.0,0.0,0.0,12918.0,4.0,0.0,0.0,MLP,12918,4,111,Cenário 1
1.0,1.0,1.0,1.0,1.0,12918.0,0.0,0.0,4.0,RF,12918,4,111,Cenário 1
0.5,0.0,0.0,0.0,0.0,12918.0,4.0,0.0,0.0,SVM,12918,4,111,Cenário 1
0.75,0.5,0.8333333333333334,0.6666666666666666,0.5555555555555556,12918.0,2.0,0.0,2.0,XGB,12918,4,111,Cenário 1
0.756289617155929,0.9480631052796,0.98742435088176,0.9722867440929109,0.9576062604524951,12139.0,27.0,665.0,35.0,FRBS,12804,62,112,Cenário 1
0.9557674273210378,1.0,0.07175071750717506,0.110062893081761,0.2361673414304993,11664.0,0.0,1132.0,70.0,LogClass,12796,70,112,Cenário 1
0.7569865582994685,0.5142857142857142,0.7826086956521741,0.6545454545454545,0.5625,12792.0,34.0,4.0,36.0,MLP,12796,70,112,Cenário 1
1.0,1.0,1.0,1.0,1.0,12796.0,0.0,0.0,70.0,RF,12796,70,112,Cenário 1
0.5928571428571429,0.18571428571428567,0.5327868852459017,0.3132530120481928,0.22184300341296928,12796.0,57.0,0.0,13.0,SVM,12796,70,112,Cenário 1
1.0,1.0,1.0,1.0,1.0,12796.0,0.0,0.0,70.0,XGB,12796,70,112,Cenário 1
0.983930300096805,0.967860600193611,0.993402487977425,0.983667847304211,0.9741221403795941,14997.0,0.0,498.0,1.0,FRBS,15495,1,114,Cenário 1
0.999515816655907,1.0,0.3333333333333333,0.4444444444444445,0.6666666666666666,15475.0,0.0,15.0,6.0,LogClass,15490,6,114,Cenário 1
0.6666666666666666,0.3333333333333333,0.7142857142857143,0.5,0.3846153846153846,15490.0,4.0,0.0,2.0,MLP,15490,6,114,Cenário 1
1.0,1.0,1.0,1.0,1.0,15490.0,0.0,0.0,6.0,RF,15490,6,114,Cenário 1
0.5,0.0,0.0,0.0,0.0,15490.0,6.0,0.0,0.0,SVM,15490,6,114,Cenário 1
